index,Year,Price,ConsumerRating,ConsumerReviews,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,MinMPG,MaxMPG,Mileage
0,2019,39998,4.6,45,3.3,3,92562,0,4.7,4.6,4.6,4.4,4.6,4.7,19,27,29403
1,2018,49985,4.8,817,4.8,131,93292,1,4.9,4.8,4.8,4.6,4.8,4.7,19,24,32929
2,2017,41860,4.7,495,4.6,249,93637,1,4.8,4.7,4.8,4.6,4.8,4.7,15,21,23173
4,2020,49000,4.8,76,4.8,4755,89011,1,4.9,4.8,4.8,4.7,4.8,4.9,20,27,28137
5,2012,23541,4.7,34,4.4,1071,94544,2,4.7,4.6,4.4,4.6,4.9,4.9,17,23,105469
6,2017,20995,4.6,200,4.4,2695,94611,0,4.6,4.4,4.4,4.5,4.7,4.8,28,34,10458
7,2014,18985,4.8,176,4.4,2695,94611,0,4.9,4.8,4.8,4.6,4.9,4.8,21,30,58157
8,2021,44299,4.8,63,4.9,237,85323,1,4.9,4.7,4.8,4.7,4.7,4.8,19,26,14445
9,2020,46773,4.8,56,4.3,1366,85015,1,4.9,4.8,4.9,4.7,4.9,4.9,15,24,25642
10,2017,42734,4.8,14,4.8,1405,85014,0,4.6,4.9,4.7,4.6,5.0,4.9,19,28,10236
11,2013,16990,4.7,81,5.0,3,85040,0,4.8,4.8,4.7,4.5,4.7,4.9,19,28,48605
12,2017,36450,4.7,261,4.9,200,85040,1,4.8,4.7,4.6,4.5,4.7,4.8,20,27,47729
13,2020,47500,4.8,56,4.7,1973,85284,1,4.9,4.8,4.9,4.7,4.9,4.9,15,24,31538
15,2017,41493,4.8,14,4.6,893,85286,2,4.6,4.9,4.7,4.6,5.0,4.9,19,28,34102
16,2018,32995,4.8,265,5.0,2,84663,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,61294
18,2018,33341,4.8,265,3.9,338,84070,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,81375
19,2018,30489,4.8,265,3.0,2,84115,1,4.9,4.8,4.8,4.7,4.9,4.8,17,24,28357
20,2018,32489,4.8,265,3.0,2,84115,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,33188
23,2018,31672,4.8,265,4.9,255,84041,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,47661
25,2018,31995,4.8,343,4.0,43,99216,2,4.8,4.8,4.6,4.8,4.9,4.9,27,33,30849
26,2018,24561,4.8,343,4.6,176,99206,1,4.8,4.8,4.6,4.8,4.9,4.9,27,33,86759
27,2018,24921,4.8,343,1.0,1,83854,1,4.8,4.8,4.6,4.8,4.9,4.9,27,33,61053
28,2016,30995,4.8,16,5.0,7,98005,1,4.6,4.9,4.9,4.4,5.0,5.0,20,30,65219
29,2016,30995,4.8,16,5.0,7,98005,2,4.6,4.9,4.9,4.4,5.0,5.0,20,30,63055
30,2019,38347,4.6,133,5.0,59,76180,1,4.8,4.6,4.5,4.3,4.7,4.5,19,28,64571
31,2016,28999,4.7,100,4.7,1563,75056,0,4.8,4.6,4.7,4.6,4.7,4.8,19,28,56000
32,2020,43451,4.8,35,4.7,205,75034,1,4.9,4.9,4.7,4.7,4.9,4.7,22,29,34768
33,2019,37300,4.7,42,4.8,2054,75209,1,4.8,4.6,4.7,4.5,4.7,4.7,22,27,26012
34,2014,27741,4.8,61,4.3,6,75088,2,4.7,4.7,4.9,4.5,4.9,4.7,23,34,48531
35,2019,40782,4.9,82,4.9,1911,68118,1,5.0,4.9,4.9,4.8,4.9,4.9,20,27,10969
36,2019,38900,4.6,133,4.8,721,66062,1,4.8,4.6,4.5,4.3,4.7,4.5,19,28,32201
37,2019,30691,4.9,32,4.7,112,77043,2,5.0,4.9,4.9,4.9,4.9,5.0,20,31,34686
38,2020,31754,4.8,83,4.7,192,55429,0,4.8,4.8,4.8,4.7,4.9,4.8,20,26,47226
39,2017,34555,4.3,42,4.7,192,54016,0,4.4,4.6,4.2,4.0,4.7,4.0,21,29,39855
40,2022,58995,4.9,16,4.6,383,63128,2,4.9,4.8,4.9,4.9,4.9,4.9,19,25,12531
41,2022,41535,5.0,1,4.4,159,70471,0,5.0,5.0,5.0,5.0,5.0,5.0,20,27,15118
42,2019,26998,4.7,61,4.7,923,53115,2,4.8,4.8,4.8,4.7,4.7,4.8,19,28,49372
44,2017,22004,4.8,743,4.2,380,60642,1,4.7,4.7,4.8,4.8,4.8,4.8,31,40,35257
