Year,Price,ConsumerRating,ConsumerReviews,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,MinMPG,MaxMPG,Mileage
2019,39998,4.6,45,3.3,3,92562,0,4.7,4.6,4.6,4.4,4.6,4.7,19,27,29403
2018,49985,4.8,817,4.8,131,93292,1,4.9,4.8,4.8,4.6,4.8,4.7,19,24,32929
2017,41860,4.7,495,4.6,249,93637,1,4.8,4.7,4.8,4.6,4.8,4.7,15,21,23173
2020,49000,4.8,76,4.8,4755,89011,1,4.9,4.8,4.8,4.7,4.8,4.9,20,27,28137
2012,23541,4.7,34,4.4,1071,94544,2,4.7,4.6,4.4,4.6,4.9,4.9,17,23,105469
2017,20995,4.6,200,4.4,2695,94611,0,4.6,4.4,4.4,4.5,4.7,4.8,28,34,10458
2014,18985,4.8,176,4.4,2695,94611,0,4.9,4.8,4.8,4.6,4.9,4.8,21,30,58157
2021,44299,4.8,63,4.9,237,85323,1,4.9,4.7,4.8,4.7,4.7,4.8,19,26,14445
2020,46773,4.8,56,4.3,1366,85015,1,4.9,4.8,4.9,4.7,4.9,4.9,15,24,25642
2017,42734,4.8,14,4.8,1405,85014,0,4.6,4.9,4.7,4.6,5.0,4.9,19,28,10236
2013,16990,4.7,81,5.0,3,85040,0,4.8,4.8,4.7,4.5,4.7,4.9,19,28,48605
2017,36450,4.7,261,4.9,200,85040,1,4.8,4.7,4.6,4.5,4.7,4.8,20,27,47729
2020,47500,4.8,56,4.7,1973,85284,1,4.9,4.8,4.9,4.7,4.9,4.9,15,24,31538
2017,41493,4.8,14,4.6,893,85286,2,4.6,4.9,4.7,4.6,5.0,4.9,19,28,34102
2018,32995,4.8,265,5.0,2,84663,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,61294
2018,33341,4.8,265,3.9,338,84070,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,81375
2018,30489,4.8,265,3.0,2,84115,1,4.9,4.8,4.8,4.7,4.9,4.8,17,24,28357
2018,32489,4.8,265,3.0,2,84115,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,33188
2018,31672,4.8,265,4.9,255,84041,1,4.9,4.8,4.8,4.7,4.9,4.8,16,22,47661
2018,31995,4.8,343,4.0,43,99216,2,4.8,4.8,4.6,4.8,4.9,4.9,27,33,30849
2018,24561,4.8,343,4.6,176,99206,1,4.8,4.8,4.6,4.8,4.9,4.9,27,33,86759
2018,24921,4.8,343,1.0,1,83854,1,4.8,4.8,4.6,4.8,4.9,4.9,27,33,61053
2016,30995,4.8,16,5.0,7,98005,1,4.6,4.9,4.9,4.4,5.0,5.0,20,30,65219
2016,30995,4.8,16,5.0,7,98005,2,4.6,4.9,4.9,4.4,5.0,5.0,20,30,63055
2019,38347,4.6,133,5.0,59,76180,1,4.8,4.6,4.5,4.3,4.7,4.5,19,28,64571
2016,28999,4.7,100,4.7,1563,75056,0,4.8,4.6,4.7,4.6,4.7,4.8,19,28,56000
2020,43451,4.8,35,4.7,205,75034,1,4.9,4.9,4.7,4.7,4.9,4.7,22,29,34768
2019,37300,4.7,42,4.8,2054,75209,1,4.8,4.6,4.7,4.5,4.7,4.7,22,27,26012
2014,27741,4.8,61,4.3,6,75088,2,4.7,4.7,4.9,4.5,4.9,4.7,23,34,48531
2019,40782,4.9,82,4.9,1911,68118,1,5.0,4.9,4.9,4.8,4.9,4.9,20,27,10969
2019,38900,4.6,133,4.8,721,66062,1,4.8,4.6,4.5,4.3,4.7,4.5,19,28,32201
2019,30691,4.9,32,4.7,112,77043,2,5.0,4.9,4.9,4.9,4.9,5.0,20,31,34686
2020,31754,4.8,83,4.7,192,55429,0,4.8,4.8,4.8,4.7,4.9,4.8,20,26,47226
2017,34555,4.3,42,4.7,192,54016,0,4.4,4.6,4.2,4.0,4.7,4.0,21,29,39855
2022,58995,4.9,16,4.6,383,63128,2,4.9,4.8,4.9,4.9,4.9,4.9,19,25,12531
2022,41535,5.0,1,4.4,159,70471,0,5.0,5.0,5.0,5.0,5.0,5.0,20,27,15118
2019,26998,4.7,61,4.7,923,53115,2,4.8,4.8,4.8,4.7,4.7,4.8,19,28,49372
2017,22004,4.8,743,4.2,380,60642,1,4.7,4.7,4.8,4.8,4.8,4.8,31,40,35257
2017,47000,4.6,37,4.2,380,37066,1,4.7,4.4,4.9,4.1,4.7,4.5,0,0,84000
2021,43296,4.8,63,4.8,959,46219,1,4.9,4.7,4.8,4.7,4.7,4.8,19,26,10563
2015,52884,4.8,296,4.9,223,46805,2,4.9,4.8,4.8,4.6,4.9,4.7,13,19,49870
2011,12290,4.3,112,4.2,34,46706,0,4.6,4.5,4.2,4.0,4.6,4.1,17,25,117401
2017,33900,4.7,20,4.3,1245,30062,0,4.5,4.4,4.9,4.5,4.8,4.8,21,32,60733
2020,41389,4.9,39,4.0,25,37923,2,4.9,4.9,4.9,4.9,4.9,4.9,22,29,36577
2018,23739,4.8,546,4.8,2398,44129,1,4.7,4.7,4.8,4.8,4.9,4.8,31,40,32333
2020,32893,4.8,13,4.6,2411,44146,1,4.7,4.9,5.0,4.7,4.8,4.9,23,31,39879
2020,30693,4.8,13,4.6,2411,44146,1,4.7,4.9,5.0,4.7,4.8,4.9,23,31,50199
2019,23995,4.7,24,3.7,7,29708,0,4.7,4.6,4.6,4.6,4.8,4.6,24,34,14940
2021,30000,5.0,3,4.8,1047,32225,0,5.0,5.0,5.0,5.0,5.0,5.0,19,30,19229
2017,53000,4.8,38,3.6,67,20152,0,4.9,4.8,4.9,4.6,4.9,4.7,17,23,55000
2019,46500,5.0,2,4.5,1031,20166,1,5.0,5.0,5.0,5.0,5.0,5.0,25,32,23504
2016,51000,4.8,29,4.6,1129,22408,1,5.0,4.9,5.0,4.5,4.9,4.7,14,19,54449
2011,18973,4.5,262,4.5,68,22554,1,4.7,4.5,4.5,4.4,4.6,4.5,14,19,110111
2018,25549,4.8,270,3.3,125,22030,1,4.8,4.8,4.7,4.8,4.8,4.8,25,31,66601
2018,18500,4.8,356,3.9,467,22191,1,4.9,4.9,4.8,4.8,4.9,4.9,23,30,79336
2017,20000,4.8,94,4.7,336,17050,2,4.8,4.7,4.8,4.7,4.7,4.8,20,24,87957
2019,27500,4.6,568,4.7,1801,18702,0,4.8,4.7,4.5,4.5,4.7,4.6,21,29,21870
2019,21795,4.6,568,4.0,14,18235,0,4.8,4.7,4.5,4.5,4.7,4.6,22,31,74832
2018,25950,4.9,50,4.9,95,19342,2,4.9,4.8,4.9,4.8,4.8,5.0,23,34,55001
2016,44998,4.8,39,5.0,3,19406,1,4.9,4.8,4.9,4.5,4.9,4.9,19,24,37979
2016,19949,4.5,317,4.7,516,19440,1,4.6,4.5,4.4,4.4,4.6,4.6,25,32,60122
2020,30187,4.8,202,4.7,1643,8902,1,4.9,4.8,4.7,4.8,4.9,4.9,21,27,42185
2020,28959,4.8,202,4.1,365,7001,0,4.9,4.8,4.7,4.8,4.9,4.9,21,27,27088
2019,106999,5.0,2,4.7,738,7728,2,5.0,5.0,5.0,4.5,5.0,5.0,15,23,15113
2019,71458,4.6,14,4.9,2448,7044,0,5.0,4.8,4.4,4.4,4.7,4.3,17,27,18022
2020,30716,4.8,202,4.9,4458,8753,1,4.9,4.8,4.7,4.8,4.9,4.9,21,27,26693
2020,17995,4.8,134,4.4,895,7305,0,4.8,4.7,4.7,4.7,4.8,4.8,30,40,21368
2020,49995,4.9,51,4.7,1472,7727,1,5.0,4.9,4.9,4.7,4.9,4.9,21,27,11970
2019,40500,4.8,16,4.3,65,10954,0,4.8,4.9,4.9,4.5,4.6,4.9,23,30,32143
2019,62995,4.6,14,4.6,1224,11021,0,5.0,4.8,4.4,4.4,4.7,4.3,17,27,35652
2018,26975,4.9,24,3.1,7,2081,0,5.0,4.9,4.9,4.8,4.9,5.0,23,33,39474
2018,25975,4.9,24,3.1,7,2081,0,5.0,4.9,4.9,4.8,4.9,5.0,23,33,42899
2019,56287,5.0,10,4.6,1108,2062,0,5.0,5.0,5.0,4.7,5.0,4.9,16,22,33427
2018,29995,4.9,24,4.8,609,2134,0,5.0,4.9,4.9,4.8,4.9,5.0,23,33,45266
2011,17899,5.0,26,3.7,42,2379,2,5.0,4.9,4.9,5.0,4.9,5.0,16,23,130602
2016,38999,4.3,59,3.4,24,90240,0,4.6,4.6,4.2,4.0,4.6,4.1,15,21,36347
2020,42492,4.1,32,3.2,27,93405,2,4.6,4.7,4.1,4.0,4.5,3.3,23,30,11140
2021,31998,4.8,69,5.0,4,94588,1,4.8,4.8,4.8,4.8,4.9,4.9,28,39,27521
